66.00 	0.6077
65.50 	0.5
65.50 	0.8172
75.00 	0.5912
65.50 	0.8203
75.00 	0.5954
65.50 	0.6035
65.50 	0.6028
66.00 	0.6139
66.00 	0.6051
65.50 	0.6162
65.50 	0.6534
65.50 	0.6367
66.00 	0.6084
66.00 	0.7403
66.00 	0.7378
65.50 	0.6102
66.00 	0.7342
65.50 	0.5512
66.00 	0.9463
66.00 	0.5973
65.00 	0.6936
65.50 	0.6216
66.50 	0.7628
67.50 	0.7087
66.00 	0.5926
65.50 	0.411
66.50 	0.7568
66.00 	0.6799
68.00 	0.7449
67.00 	0.8639
65.50 	0.6303
65.50 	0.6205
66.00 	0.8738
66.50 	0.5924
65.50 	0.7722
70.00 	0.7997
75.00 	0.5434
66.50 	0.6775
66.00 	0.6452
65.00 	0.6343
66.50 	0.6236
67.00 	0.7214
69.00 	0.9463
66.00 	0.7887
66.00 	0.7866
67.00 	0.7486
67.00 	0.5871
68.50 	0.6322
70.00 	0.7472
66.50 	0.373
65.50 	0.8267
70.00 	0.6884
67.00 	0.7489
67.00 	0.7046
73.00 	0.7053
66.00 	0.5221
69.00 	0.5209
66.00 	0.611
65.50 	0.7138
65.50 	0.5505
67.50 	0.5776
75.00 	0.4045
73.00 	0.386
67.00 	0.3845
67.00 	0.4338
65.00 	0.3883
65.50 	0.5139
66.00 	0.6099
66.50 	0.5843
70.00 	0.4208
66.50 	0.3933
66.00 	0.5009
66.50 	0.4208
66.50 	0.4176
68.50 	0.3845
65.50 	0.6244
66.50 	0.5894
71.00 	0.5132
66.00 	0.5964
70.00 	0.4259
67.00 	0.7097
66.00 	0.4933
65.50 	0.4139
66.00 	0.4796
66.50 	0.4681
66.00 	0.5537
70.00 	0.5923
66.50 	0.5034
70.00 	0.4035
65.50 	0.6264
67.00 	0.5894
70.00 	0.5009
66.00 	0.5495
65.50 	0.3863
67.00 	0.2648
65.50 	0.2373
65.50 	0.1893
66.00 	0.2143
66.00 	0.1904
66.50 	0.2521
70.00 	0.2257
66.00 	0.2745
70.00 	0.1191
65.00 	0.1442
67.50 	0.1351
70.00 	0.1904
66.00 	0.2709
65.50 	0.2121
68.50 	0.2587
70.50 	0.1778
65.50 	0.2668
66.50 	0.1546
66.50 	0.1546
67.00 	0.1308
66.00 	0.1276
67.00 	0.1674
65.50 	0.256
66.00 	0.2877
65.50 	0.1267
65.00 	0.4549
66.50 	0.1087
65.50 	0.333
66.00 	0.0998
66.00 	0.3607
75.00 	0.3751
65.50 	0.4227
65.50 	0.428
66.50 	0.4231
65.00 	0.351
65.50 	0.3513
65.00 	0.3607
75.00 	0.3868
65.00 	0.3868
65.50 	0.3587
68.50 	0.405
