(0.0, 0.15)
(0.0, 0.0)
(1.0, 0.07)
(1.0, 0.06)
(1.0, 124.57)
(1.0, 1.19)
(1.0, 91.62)
(1.0, 0.08)
(1.0, 0.11)
(1.0, 0.11)
(1.0, 0.07)
(0.0, 0.0)
(1.0, 0.06)
(0.0, 0.16)
(0.0, 0.16)
(1.0, 0.02)
(0.0, 0.0)
(1.0, 0.08)
(1.0, 0.1)
(0.0, 0.13)
(0.0, 0.0)
(1.0, 21.38)
(1.0, 0.07)
(1.0, 0.05)
(0.0, 0.0)
(1.0, 0.1)
(1.0, 0.05)
(1.0, 0.08)
(1.0, 0.06)
(1.0, 0.07)
(0.0, 0.0)
(1.0, 0.1)
(0.0, 0.0)
(0.0, 0.08)
(1.0, 0.1)
(1.0, 0.24)
(1.0, 0.1)
(0.0, 0.14)
(1.0, 7.74)
(1.0, 0.11)
(1.0, 0.11)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.07)
(1.0, 17.81)
(1.0, 0.1)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.06)
(1.0, 0.08)
(0.0, 0.0)
(1.0, 0.09)
(0.0, 0.15)
(0.0, 0.0)
(1.0, 0.09)
(0.0, 0.0)
(0.0, 0.15)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.15)
(0.0, 0.0)
(1.0, 0.08)
(1.0, 0.1)
(0.0, 0.07)
(1.0, 0.08)
(1.0, 0.08)
(0.0, 0.17)
(1.0, 0.12)
(0.0, 0.0)
(1.0, 0.09)
(0.0, 0.11)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.13)
(1.0, 12.0)
(1.0, 0.1)
(0.0, 0.0)
(1.0, 0.1)
(1.0, 0.14)
(0.0, 0.0)
(0.0, 0.19)
(1.0, 0.17)
(0.0, 0.0)
(0.0, 0.17)
(0.0, 0.0)
(1.0, 0.1)
(0.0, 0.0)
(0.0, 0.18)
(1.0, 0.14)
(0.0, 0.0)
(1.0, 0.07)
(0.0, 0.09)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.08)
(1.0, 0.09)
(1.0, 0.11)
(1.0, 0.11)
(1.0, 0.08)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.15)
(0.0, 0.0)
(1.0, 0.07)
(0.0, 0.0)
(0.0, 0.09)
(1.0, 0.05)
(0.0, 0.0)
(1.0, 0.12)
(1.0, 0.23)
(1.0, 0.07)
(0.0, 0.0)
(1.0, 0.08)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.12)
(1.0, 0.09)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 2.96)
(1.0, 0.1)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.31)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.17)
(0.0, 0.0)
(0.0, 0.1)
(1.0, 0.05)
(0.0, 0.15)
(1.0, 0.2)
(0.0, 0.0)
(0.0, 0.0)
(1.0, 0.05)
(1.0, 0.08)
(1.0, 0.14)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.11)
(0.0, 0.13)
(0.0, 0.0)
(1.0, 0.1)
(0.0, 0.0)
(1.0, 0.07)
(0.0, 0.0)
(1.0, 0.15)
(1.0, 0.07)
(1.0, 0.06)
(0.0, 0.15)
(1.0, 0.13)
(1.0, 0.07)
(1.0, 0.15)
(0.0, 0.0)
(1.0, 0.05)
(0.0, 0.0)
